City,Latitude,Longitude
Pomfret,42.4029,-79.3534
Santa Marcela,18.2872,121.4375
Yakage,34.6275,133.5872
Baş Göynük,41.3228,47.1133
Glendale,43.1287,-87.9277
Kamianka,49.0333,32.1
Ajijic,20.3,-103.2833
Castelnuovo di Verona,45.4333,10.7667
Marojala,-14.4833,50.0333
Bagadó,5.4167,-76.4167
Kumarkhāli,22.3598,88.799
Ganapavaram,15.9232,80.5856
Ambodiampana,-14.5333,49.8667
Bagaura,26.0388,84.4624
Mandritsara,-19.55,47.05
Wächtersbach,50.2547,9.2919
Mangindrano,-14.2833,48.9667
Bejofo,-17.8333,48.2333
Nagar,24.0914,87.9888
Sante Bennūr,14.1697,76.0033
Hāthidāh Buzurg,25.3716,85.9857
Tomar do Geru,-11.3728,-37.8408
Lynnfield,42.5356,-71.0382
Chino Valley,34.7594,-112.412
Salobreña,36.7467,-3.5869
Kortemark,51.0286,3.0444
Fontanafredda,45.9667,12.5667
Suamico,44.6354,-88.0683
Isāpur,25.4122,86.9893
Mountain Home,36.3351,-92.384
Beaconsfield,51.6009,-0.6347
Concepción Las Minas,14.5167,-89.45
El Adjiba,36.3333,4.15
Goldenrod,28.6114,-81.2916
Yuzha,56.5833,42.0333
Neuenburg am Rhein,47.8147,7.5619
Tezoatlán de Segura y Luna,17.65,-97.8167
Kamin-Kashyrskyi,51.6242,24.9606
North Smithfield,41.9727,-71.5514
Sylacauga,33.178,-86.2605
Los Bellosos,19.8333,-71.0167
Ban Bang Yai,13.8369,100.3591
Profondeville,50.3769,4.87
Obikiik,38.1586,68.6722
Budakalász,47.6215,19.046
Huntington,53.9926,-1.043
G’oliblar Qishlog’i,40.4953,67.8778
Foča,43.5,18.7833
Lake City,30.1901,-82.6471
Gandara West,5.95,80.55
Teus,25.2493,85.7141
Belén,-27.65,-67.0333
Aleksandrovsk,59.1667,57.6
Rovinari,44.9125,23.1622
Highlands,41.3601,-74.0084
Antanamalaza,-19.4,47.6333
Wyndham,37.6924,-77.6123
Ichinomiya,35.3667,140.3667
Caimito,8.8333,-75.1667
Baxiangshan,23.763,115.9626
Ronneby,56.2,15.2833
Ghal Kalān,30.8189,75.1063
Maliāl,18.7,78.9667
Beauharnois,45.32,-73.87
Ullūr,10.9706,79.4063
Raghunāthpur,26.6418,84.8938
Kunkalagunta,16.2969,79.8866
Salem,40.9049,-80.8492
Carleton Place,45.1333,-76.1333
Kabīrpur,26.2661,84.205
Kuruman,-27.4597,23.4125
Olivença,-9.5186,-37.1906
Raghunāthpur,26.3448,84.9211
Jagannāthpur,25.6573,87.5886
Picayune,30.5322,-89.6724
Puente Nacional,5.8833,-73.6833
Missões,-14.8839,-44.0908
Durbuy,50.3522,5.4563
Mena,51.5167,32.2167
Tāzhakudi,8.2348,77.4533
Hallbergmoos,48.3333,11.75
Okpo,18.1167,95.6667
Gravelines,50.9864,2.1275
Svidník,49.3056,21.5678
Simri,26.3825,86.1705
Luathaha,26.6316,84.9079
Rheinau,48.6678,7.9347
Chorrochó,-8.98,-39.0939
Divinolândia,-21.6614,-46.7392
Bom Retiro do Sul,-29.6089,-51.9428
Retie,51.2667,5.0667
Pātrasāer,23.1968,87.5272
San José de Guaribe,9.793,-65.8418
Sào Amaro das Brotas,-10.7889,-37.0539
Hillsborough,37.5572,-122.3586
Ravenna,41.1612,-81.2422
Touama,31.5339,-7.4872
Kasba,25.5856,88.1122
Svitlodarsk,48.4358,38.2164
Derbisek,41.5608,69.3378
Capilla del Monte,-30.85,-64.5167
Saddlebrooke,32.5576,-110.874
Kāza,16.3887,80.5412
Ocean City,39.2681,-74.602
Katālpur,26.2255,84.7608
Mangalmé,12.3547,19.6139
Bairiyā,26.3392,84.8236
Clayton,37.9404,-121.9301
Aydıncık,36.1417,33.3178
Veselí nad Moravou,48.9536,17.3765
Khokri Kalān,30.8456,75.3307
Manambolosy,-16.0333,49.6667
Ponte Serrada,-26.8719,-52.0158
Koronowo,53.3167,17.9333
Springdale,39.2909,-84.476
Kalanivāsal,10.07,78.78
Wanderlândia,-6.8489,-47.9628
Cáchira,7.75,-73.1667
Linganore,39.4127,-77.3014
Mae Wang,18.6567,98.6816
Gudlavalleru,16.35,81.05
Nova Vodolaha,49.7197,35.8772
Humlebæk,55.9611,12.525
Yedrāmi,16.8667,76.5333
Pocono,41.0612,-75.3102
São Tomé,-5.9728,-36.075
Ousseltia,35.84,9.58
Wittelsheim,47.8053,7.2375
Itatuba,-7.375,-35.6278
Wellington,40.7,-105.0054
Hasanpura,26.0751,84.3618
Presidente Vargas,-3.4069,-44.0239
Sukhsena,25.6881,87.1194
Kollankulam,8.7964,77.5681
Lohariandava,-18.7833,48.675
Lonkly,7.1333,1.6833
Corocoro,-17.1667,-68.45
Grevesmühlen,53.8667,11.1667
Motibennur,14.715,75.48
Pinto,-36.7,-71.9
Korosavāda,18.7256,84.0573
Rāmpur,25.1826,86.1465
Gonghaur,26.4346,86.216
Blandford Forum,50.856,-2.165
Sotkamo,64.1333,28.3833
Sādiqpur Maraul,25.9966,85.5777
Fuveau,43.4522,5.5617
Rāmpur Khajuriyā,26.3923,84.7688
Frouzins,43.5161,1.3247
Brikama Ba,13.5333,-14.9333
Flat Rock,42.0991,-83.2716
Brumath,48.7319,7.7083
Belaya Kholunitsa,58.85,50.8667
Puerto Quijarro,-17.7796,-57.77
Pedda Kotayalanka,16.1567,80.8314
Kondakindi Agrahāram,14.679,77.7401
Portage,43.5489,-89.4658
Rouvroy,50.3936,2.9039
Welkenraedt,50.6606,5.9714
Chākicherla,15.1127,80.0366
Lontras,-27.1658,-49.5419
Caetanópolis,-19.295,-44.4189
Amparihitsokatra,-17.5167,48.5667
Karajgi,14.8641,75.4535
Nishi,32.2011,130.8411
Velpūru,16.1775,80.7425
Potosí,0.8081,-77.5728
Cetraro,39.5,15.95
Tocina,37.6,-5.7333
Granada,6.147,-75.188
Byarozawka,53.7167,25.5
Wald,47.2753,8.9144
Kumçatı,37.471,42.317
North Glengarry,45.3333,-74.7333
Sakuho,36.161,138.4834
Chilakhāna,26.299,89.5892
Kosh-Agach,49.9927,88.676
Tiruvambalapuram,8.2514,77.7752
Punjai Lakkāpuram,11.305,77.7554
Fredonia,42.4407,-79.3319
Ghadāmis,30.1333,9.5
Heilsbronn,49.3167,10.8
Wāngjing,24.3862,93.8604
Terra de Areia,-29.585,-50.0708
Katahra,26.2235,87.0643
Juru,-7.5369,-37.8189
La Grange,38.3987,-85.375
Bockenem,52.0117,10.1319
Hornsby Bend,30.2388,-97.5899
Independence,44.8547,-123.1952
Pulivalam,10.7525,79.6352
Dattapāra,22.8491,88.9023
Jambukuttaippatti,12.3246,78.3443
Nordwalde,52.0833,7.4833
Puerto Nariño,-3.7733,-70.3819
Yalagüina,13.4858,-86.4917
Bni Boufrah,35.1,-4.3167
Maserada sul Piave,45.75,12.3167
Alfred and Plantagenet,45.5667,-74.9167
Barpathār,26.2871,93.8884
Canonsburg,40.2643,-80.1867
Sierning,48.0447,14.31
Irthlingborough,52.324,-0.614
Rodeo,38.0367,-122.2526
Parempuyre,44.9492,-0.605
Eurajoki,61.2,21.7333
Monett,36.9218,-93.9278
Gaggiano,45.4048,9.0349
Vallendar,50.3971,7.622
Shira,54.4939,89.9628
’s-Gravendeel,51.7833,4.6167
Havre,48.5427,-109.6804
Porcari,43.8415,10.6163
Ifigha,36.6667,4.4167
Richterich,50.8086,6.0625
Nārsingi,18.0446,78.4254
Belousovo,55.0833,36.6667
Terra Nova,-8.23,-39.3758
Antônio Dias,-19.6528,-42.8719
Chotěboř,49.7208,15.6703
Kalanchak,46.2581,33.2843
Saint-Philbert-de-Grand-Lieu,47.035,-1.64
Sholaqqorghan,43.765,69.1758
Nettādahalli,12.133,78.0671
Willowbrook,41.7641,-87.9454
Kandanāti,15.6997,77.4757
Chadan,51.2833,91.5833
Oak Hills,34.391,-117.4123
Kharovsk,59.95,40.2
Shar,49.5858,81.0478
Nierstein,49.8694,8.3375
Saint-Jean-d’Illac,44.8097,-0.7836
Delta,38.756,-108.0772
Puerto Octay,-40.9667,-72.9
Cameron,39.7444,-94.2329
Ulātu,23.2766,85.5012
Hampstead,42.8821,-71.171
San Sebastian,11.7,125.0167
Camenca,48.0167,28.7167
Santa María Xadani,16.3667,-95.0167
Oak Grove,45.3409,-93.3264
Jolfā,38.9308,45.6383
Gulf Hills,30.4367,-88.815
Tsallagundla,16.3522,79.9619
Nūlvi,15.2728,75.1673
Höshööt,48.9408,89.1383
San Isidro,9.9369,126.0886
Tibro,58.4167,14.1667
Hollymead,38.1266,-78.4386
Goundam,16.4144,-3.6708
Wharton,29.3177,-96.1022
Lanco,-39.45,-72.7833
Namsos,64.4656,11.4978
Kieta,-6.2158,155.6328
Chepes,-31.35,-66.6
Victorica,-36.2167,-65.45
Charleville,-26.4016,146.2383
Baures,-13.6556,-63.6958
Iracoubo,5.4804,-53.22
Gingin,-31.34,115.91
Isemi-Ile,7.97,3.59
Punta Prieta,28.9289,-114.1556
Ţālkhvoncheh,32.2631,51.5622
Ambatolahy,-22.5333,46.0
Birni Lafia,11.9783,3.2225
San Fernando,9.2797,-74.5339
Avsallar,36.5833,31.8833
Douar Oulad Bouziane,34.2083,-5.0522
Rancho Mission Viejo,33.514,-117.5618
Kharsāwān,22.7909,85.831
Anjialava,-14.0667,49.7333
Nanmucun,25.1619,114.5559
Upper Leacock,40.0801,-76.1854
Upper Makefield,40.2941,-74.925
East Donegal,40.0823,-76.5631
San Matías,-16.3611,-58.4053
Palana,59.084,159.95
Taedong,40.6171,125.4501
Quilpie,-26.6161,144.2675
Gyda,70.8814,78.4661
Zvëzdnyy,70.9333,-179.6
